ОТДЕЛЕНИЕ;USD пок;USD прод;EUR пок;EUR прод;RUB пок;RUB прод
  Белагропромбанк г. Минск, ул. Лобанка, 79  15:25;2.033;2.062;2.255;2.290;3.150;3.230
  Белагропромбанк г. Минск, ул. Одинцова, 20  15:25;2.030;2.063;2.250;2.292;3.140;3.240
  Белагропромбанк г. Минск, ул. Жиновича, 20  15:25;2.033;2.062;2.255;2.290;3.150;3.230
  Белагропромбанк ул.Железнодорожная, 44  15:25;2.033;2.062;2.255;2.290;3.150;3.230
  Белагропромбанк г. Минск, пр. Жукова, 3  15:25;2.035;2.056;2.262;2.283;3.165;3.200
  Беларусбанк г. Минск, пр. Дзержинского, 18  15:25;2.042;2.058;2.264;2.283;3.160;3.210
  Беларусбанк г. Минск, пр. Независимости, 11/1  14:53;2.030;2.057;2.230;2.282;3.015;3.195
  Беларусбанк г. Минск, ул. Кальварийская, 24  15:25;2.033;2.055;2.232;2.282;3.025;3.195
  Беларусбанк г. Минск, пр. Дзержинского, 91  15:25;2.030;2.057;2.230;2.282;3.015;3.195
  Беларусбанк г. Минск, ул. Рафиева, 64  15:25;2.030;2.057;2.230;2.282;3.015;3.195
  Беларусбанк г. Минск, пр. Независимости, 21  15:25;2.025;2.060;2.245;2.288;3.070;3.200
  Беларусбанк г. Минск, ул. Казимировская, 35  15:25;2.030;2.062;2.240;2.292;3.050;3.200
  Беларусбанк г. Минск, ул. Налибокская, 39  15:25;2.030;2.062;2.240;2.292;3.050;3.200
  Беларусбанк г. Минск, ул. В.хоружей, 8  15:25;2.030;2.060;2.248;2.290;3.080;3.200
  Беларусбанк г. Минск, ул. Лобанка, 94  15:25;2.030;2.060;2.248;2.290;3.080;3.200
  Беларусбанк г. Минск, ул. Червякова, 57  15:25;2.025;2.063;2.230;2.292;3.020;3.200
  Беларусбанк г. Минск, пр. Победителей, 59  15:25;2.025;2.063;2.230;2.292;3.020;3.200
  Беларусбанк г. Минск, ул. Водолажского, 6  15:25;2.025;2.063;2.230;2.292;3.020;3.200
